gx,gy,gz,ax,ay,az
0,0,0,0,0,0
5.1,-3.2,348,-0.6,0.2,-0.6
5.4,-2.9,347.3,-0.2,0.2,-0.4
5.5,-2.9,347.1,0.2,0,0
5.5,-3.2,347.1,0.4,-0.6,-0.2
5.2,-3.4,347,-0.2,-0.6,-0.2
4.7,-3.3,346.6,-0.4,-0.4,-0.4
4.7,-3.4,346.5,0.4,0.4,-0.4
4.9,-3.6,346.3,0.2,0.2,-0.2
4.9,-3.6,346.3,-0.2,0.2,-0.4
6.1,-4.2,346.4,-0.2,0.8,-7.4
5.3,-3.6,346.4,1.2,0.6,-1.4
5.1,-3.6,346.4,-0.4,0.2,-1.4
5.3,-3.5,346.4,-0.2,0.2,0.4
5.3,-3.5,346.4,0,0.2,-0.4
5.7,-3.7,346.2,0.6,0.6,-0.6
6.3,-3.9,345.7,0.6,0.8,-0.6
6.9,-4.1,344.7,1,0.8,-0.6
7.5,-3.3,340.5,1,1,-0.8
8.1,-1.8,333.9,-0.6,0.6,-2
8.4,-0.6,328.1,0,1.4,0.4
8.2,1.3,320.9,-0.2,0.2,-1.6
7.7,2.7,315.3,-0.4,-1.6,-0.6
7.1,3.6,310.7,1.4,-1.6,-1.8
6.3,4.6,302.1,-1.2,-1.4,-2.4
6.7,4.3,295.2,-1.8,0.4,-1.6
6.9,4.4,290.2,0,2.4,0.6
8.1,3.9,288.2,-2.2,2.2,-3.6
9.7,2.7,287.9,9.6,-23.4,35.4
11.5,-0.8,291.9,17,-1,16
13.7,-3.2,295.8,-7,-3.6,-29.8
13.1,-7.9,299.3,-3,-0.2,8.4
12.5,-11.8,305,7.6,-4,-6.6
10.1,-12.9,308.1,-5,-5.2,3.2
8.3,-14.3,310.8,-2.6,-1.6,-3.8
6.9,-14.9,314,1.2,0.6,2
6.4,-15.2,315.9,-0.4,0.4,0
6.3,-15.6,318.2,0.8,2.2,-1
6.5,-16.1,319.4,0,0.6,-2
7.5,-16.2,319.4,-2.2,4.8,-1.4
6.7,-18.4,327.7,8.6,-5.6,8.4
5,-17.7,335.1,-10.6,-4.8,-2.6
4.7,-17.4,338.2,4.4,-1.8,0.8
5.2,-15.4,337.4,-11.2,-0.2,-0.8
5,-12.6,337.2,2.4,3.2,-2.2
6.1,-14.9,339.6,1.4,2.4,0.6
9.4,-12.4,340,-8.2,9.8,1.2
14.3,-9.6,336.5,-2.6,0.8,-7
10.6,-11.7,337,10,-15,2.2
6.5,-13.4,339.2,-4.4,-3.2,0.8
5.1,-13,339.5,-4.8,-1.4,-3.2
4.5,-13.9,339.7,3,-1.2,3.6
4.3,-14.7,339.9,2.2,0,-1.2
4.1,-15.5,341.1,0.6,0.4,0.6
3.8,-15.3,342.2,-0.2,-0.2,-1
3.8,-15.2,342.2,0,0.2,0
4.5,-15,342.1,0.2,1.8,-0.2
5.8,-14,342.1,-1,0.4,0
6,-13.5,341.8,-1,-0.4,-0.2
6,-12.7,341.7,-0.4,1.4,-0.2
7.6,-11.7,341.5,-0.6,1.2,-0.4
8.1,-11.6,340.9,0.6,0.6,0.8
9.4,-12.2,339.2,2,2.2,0.8
11.9,-10.8,332.1,0.8,1.8,-0.4
14.1,-8.3,324.7,-3.8,0.2,-3
14.6,-8,323.2,1.4,-2.4,-0.8
14.9,-8.7,325,-2.6,0.2,-5
14.7,-9.3,326.4,1,-1.8,1.2
13.7,-9.7,331.1,-1.2,5,-0.2
12.4,-9.2,334.9,-10.2,-1.8,13.4
12.6,-9.3,343.2,-1,-4.6,6.6
13.3,-9,349.1,1.4,9.2,1.8
15.6,-5.1,348.3,-5.8,-4.2,-17
15.5,1.1,336.9,-0.4,-6.2,-17.2
14.5,4,326.9,8,0.4,7.6
15.2,5.7,316.4,1.8,2.4,5.4
14,5.1,310.5,-10.6,-12.8,3
10.4,7.6,303.4,2.2,-1.4,4
10.2,6.7,300.2,7.2,-4,2.2
7.7,6.3,296.4,-4.2,1.6,-2.4
7.3,6.3,294.9,-2.2,-2.8,-0.2
7.1,5.4,295.1,-3.6,2.4,4.2
8.4,4.4,296.8,-1.2,-1.8,3.6
9,3.3,298,3.8,5.6,7.2
9.8,2.8,299.7,-1.4,-4,0
10.8,2.1,303.2,0.4,9.6,2.4
11.4,2,303.1,0,22,-3.4
10.4,2.8,300.8,1.2,2.4,-6
10.5,2.8,299.1,0.4,-1,6.4
10.2,2.8,298.9,1.4,2.8,-2.6
9.8,2.1,298.3,1,-0.4,-4.6
9.4,2,297.1,-1.2,0.8,-11.6
10.6,1.9,296.4,3,1.4,1.6
10.8,0.4,297.8,-2.2,8.4,-3
11,-0.4,299.7,0.2,2.6,-3.8
11.2,-0.7,301.7,1.4,-2.2,8.4
11.4,-0.5,300.9,0,3,-4
11.2,-0.1,300.6,-0.8,4.4,9.2
11.2,-0.1,302,-1,0,-5.4
11.9,-0.4,303.9,-4.2,1.4,5.6
11.7,-0.3,304.2,2.8,-2.4,3.4
10.6,0.2,303.9,6.8,-3.2,26.4
10.1,0.8,303.7,-0.6,4.6,-27.2
12.1,2.4,300.6,-3,-3.2,-2.8
9.2,3.1,297.2,-0.6,0.2,49
10.3,3,296.1,-0.2,4.6,20.8
13.3,4.5,297.1,-1.2,-8.2,13.4
13.7,3.4,298.5,4,10.2,-31
12.7,2.4,298.7,2.8,-3.4,-10
12.6,1.5,299.8,4.4,2.2,9.6
11.4,0.5,301.3,1.6,10.2,-27.6
10.7,-0.2,301.5,-1,1.6,-22.4
9.4,0.9,302.1,2,19.6,-12.2
9.3,0.1,303.8,-4.4,-7.4,14.2
8.5,0,304,6,2.6,1.2
9.3,1,303,2.4,11.8,-5.2
10.3,1.7,300.8,-2.2,-7.2,11.6
8.7,2.3,300.2,3.4,-3.8,6
7.2,3.6,299,2.8,-13.4,-7
8.1,3.8,297.5,5.2,10.4,-14
10.7,5.1,294.5,-5.6,-7.8,-6
9.2,5.2,289.5,3.2,-2.6,10
9.4,5.3,286,3,55.6,26.2
12.3,3.7,285.4,5.2,23.4,2.6
11.2,1.7,286.9,1.2,-3,-0.8
11.3,1.5,288.8,-5.2,-1.8,20
10.8,0.7,290.2,-0.2,-5,6.2
10,1,289.2,-3.6,1.8,-15.2
10.7,0.5,287.2,7.2,-1.2,19
10.9,0.9,286.5,-1.6,-2.4,-11.4
10.4,1,286.2,3.4,-1.4,23.2
9.6,1.6,285.2,-0.4,-2,-9.4
8.8,1.7,283.2,-1.8,0.6,2.8
8.8,1.4,282.5,-0.2,-8,8
10.1,0.5,282.8,-1,-2,7.2
10.2,0.8,283.6,2.2,-1.6,11
7.6,-0.2,284.5,2,3.8,-8
8.2,-0.5,284.1,-0.8,3.4,3.2
8.3,-0.9,284,-6.4,-2.2,19.8
6.8,-1,284.8,-3.6,4.2,-0.4
5.8,-1.3,285.4,7.2,6.4,17.2
